חודש,"מחוז למ""ס",סמל ישוב,יישוב,"סה""כ דורשי עבודה",גברים,נשים,אקדמאים,אינם אקדמאים,הבטחת הכנסה,דורשי עבודה שאינם עובדים,השמות מתוך הפניות,שיעור אבטלה מוערך ביישוב
2010-01,הצפון,490,דייר אל-אסד,444,185,259,7,437,359,444,1,11%
2010-01,הצפון,492,דייר חנא,666,298,368,13,653,517,666,4,17%
2010-01,הצפון,975,זרזיר,303,126,177,2,301,217,299,9,12%
2010-01,הצפון,496,חורפיש,138,50,88,7,131,100,138,1,7%
2010-01,הצפון,2034,חצור הגלילית,285,127,158,13,272,155,282,22,7%
2010-01,הצפון,6700,טבריה,1874,833,1041,110,1764,1297,1789,41,9%
2010-01,הצפון,962,טובא-זנגרייה,355,163,192,3,352,266,352,19,13%
2010-01,הצפון,498,טורעאן,565,219,346,11,554,470,563,8,12%
2010-01,הצפון,8900,טמרה,2064,904,1160,20,2044,1832,2059,5,18%
2010-01,הצפון,1295,יאנוח-ג'ת,159,56,103,5,154,115,159,6,8%
2010-01,הצפון,46,יבנאל,109,68,41,6,103,79,103,0,8%
2010-01,הצפון,499,יפיע,684,305,379,14,670,533,679,9,10%
2010-01,הצפון,240,יקנעם עילית,535,190,345,106,429,256,532,35,5%
2010-01,הצפון,502,ירכא,429,175,254,3,426,330,429,3,10%
2010-01,הצפון,504,כאבול,777,365,412,22,755,644,774,0,19%
2010-01,הצפון,505,כאוכב אבו אל-היג'א,230,84,146,5,225,185,230,0,16%
2010-01,הצפון,1296,כסרא-סמיע,248,85,163,4,244,197,247,12,9%
2010-01,הצפון,978,כעביה-טבאש-חג'אג'רה,225,99,126,2,223,159,224,4,12%
2010-01,הצפון,1263,כפר ורדים,58,24,34,26,32,8,58,2,2%
2010-01,הצפון,507,כפר יאסיף,443,187,256,4,439,359,443,5,11%
2010-01,הצפון,508,כפר כמא,91,43,48,4,87,47,89,1,7%
2010-01,הצפון,509,כפר כנא,1238,530,708,13,1225,1048,1223,17,17%
2010-01,הצפון,510,כפר מנדא,880,428,452,13,867,673,869,8,15%
2010-01,הצפון,47,כפר תבור,41,18,23,11,30,6,41,2,2%
2010-01,הצפון,1139,כרמיאל,1729,660,1069,347,1382,1036,1684,60,7%
2010-01,הצפון,481,מגאר,1451,596,855,34,1417,1246,1448,1,20%
2010-01,הצפון,516,מג'ד אל-כרום,694,317,377,9,685,549,693,0,13%
2010-01,הצפון,874,מגדל העמק,975,411,564,93,882,531,952,74,8%
2010-01,הצפון,4201,מג'דל שמס,461,171,290,21,440,388,456,1,12%
2010-01,הצפון,517,מזרעה,179,70,109,1,178,145,177,0,11%
2010-01,הצפון,4203,מסעדה,181,66,115,3,178,153,180,0,13%
2010-01,הצפון,518,מעיליא,66,29,37,7,59,36,66,2,5%
2010-01,הצפון,1063,מעלות-תרשיחא,1072,444,628,140,932,717,1066,67,9%
2010-01,הצפון,520,משהד,329,128,201,7,322,282,323,3,12%
2010-01,הצפון,9100,נהרייה,2124,962,1162,251,1873,1419,2110,44,8%
2010-01,הצפון,522,נחף,480,203,277,10,470,410,478,0,12%
2010-01,הצפון,7300,נצרת,2006,979,1027,42,1964,1430,1999,7,7%
2010-01,הצפון,1061,נצרת עילית,1626,709,917,254,1372,920,1567,118,7%
2010-01,הצפון,525,סאג'ור,115,44,71,1,114,86,113,0,8%
2010-01,הצפון,7500,סח'נין,2005,917,1088,27,1978,1720,2005,7,18%
2010-01,הצפון,4501,ע'ג'ר,134,53,81,5,129,105,133,0,15%
2010-01,הצפון,530,עיילבון,202,86,116,9,193,165,200,1,9%
2010-01,הצפון,511,עילוט,329,143,186,2,327,258,329,2,14%
2010-01,הצפון,532,עין מאהל,483,258,225,1,482,370,478,6,12%
2010-01,הצפון,7600,עכו,3367,1521,1846,147,3220,2640,3345,40,14%
2010-01,הצפון,7700,עפולה,1753,766,987,216,1537,1035,1704,51,8%
2010-01,הצפון,531,עראבה,1340,580,760,31,1309,1150,1339,3,17%
2010-01,הצפון,535,פסוטה,143,64,79,8,135,106,143,2,10%
2010-01,הצפון,536,פקיעין (בוקייעה),156,80,76,7,149,115,154,3,7%
2010-01,הצפון,8000,צפת,989,469,520,88,901,687,984,19,9%
2010-01,הצפון,4100,קצרין,209,90,119,43,166,109,208,11,6%
2010-01,הצפון,2800,קריית שמונה,821,405,416,71,750,392,801,52,7%
2010-01,הצפון,543,ראמה,322,138,184,8,314,258,319,2,10%
2010-01,הצפון,26,ראש פינה,54,25,29,7,47,21,53,5,4%
2010-01,הצפון,542,ריינה,645,280,365,9,636,504,640,14,12%
2010-01,הצפון,122,רמת ישי,93,34,59,31,62,10,91,7,3%
2010-01,הצפון,913,שבלי - אום אל-גנם,286,143,143,4,282,205,283,2,13%
2010-01,הצפון,812,שלומי,287,122,165,13,274,167,285,7,9%
2010-01,הצפון,538,שעב,465,194,271,6,459,406,464,3,19%
2010-01,הצפון,8800,שפרעם,2143,906,1237,26,2117,1810,2135,4,14%
2010-01,חיפה,2710,אום אל-פחם,3339,1398,1941,10,3329,2821,3335,47,20%
2010-01,חיפה,1020,אור עקיבא,576,258,318,53,523,221,562,17,6%
2010-01,חיפה,6000,באקה אל-גרביה,492,278,214,5,487,289,491,15,NULL
2010-01,חיפה,9800,בנימינה-גבעת עדה*,191,83,108,64,127,47,190,7,3%
2010-01,חיפה,1326,"בסמ""ה",274,146,128,5,269,200,274,8,9%
2010-01,חיפה,541,ג'סר א-זרקא,341,206,135,3,338,242,339,10,7%
2010-01,חיפה,628,ג'ת,154,78,76,2,152,95,154,4,NULL
2010-01,חיפה,494,דאלית אל-כרמל,489,208,281,8,481,321,487,2,7%
2010-01,חיפה,9300,זכרון יעקב,216,85,131,62,154,45,216,9,2%
2010-01,חיפה,6500,חדרה,2029,853,1176,259,1770,850,2006,56,5%
2010-01,חיפה,4000,חיפה,8722,3695,5027,1673,7049,5994,8678,94,7%
2010-01,חיפה,1247,חריש-קציר,26,12,14,4,22,14,26,0,2%
2010-01,חיפה,2100,טירת כרמל,803,353,450,25,778,559,800,2,8%
2010-01,חיפה,654,כפר קרע,285,140,145,8,277,149,284,11,4%
2010-01,חיפה,1327,מעלה עירון,801,343,458,1,800,654,799,7,17%
2010-01,חיפה,2500,נשר,621,275,346,140,481,339,619,11,5%
2010-01,חיפה,534,עספיא,329,132,197,7,322,217,328,1,7%
2010-01,חיפה,637,ערערה,418,204,214,5,413,251,418,11,6%
2010-01,חיפה,537,פוריידיס,338,168,170,4,334,249,337,2,7%
2010-01,חיפה,7800,פרדס חנה-כרכור,670,298,372,108,562,209,665,29,4%
2010-01,חיפה,6800,קריית אתא,1989,782,1207,164,1825,1341,1981,34,7%
2010-01,חיפה,9500,קריית ביאליק,1312,513,799,158,1154,788,1304,33,7%
2010-01,חיפה,2300,קריית טבעון,195,87,108,62,133,60,195,7,3%
2010-01,חיפה,9600,קריית ים,1930,822,1108,191,1739,1352,1924,48,10%
2010-01,חיפה,8200,קריית מוצקין,1289,495,794,203,1086,775,1281,22,6%
2010-01,חיפה,922,רכסים,157,83,74,11,146,108,155,1,6%
2010-01,ירושלים,472,אבו גוש,272,129,143,1,271,187,272,4,11%
2010-01,ירושלים,2610,בית שמש,1134,479,655,114,1020,637,1118,52,5%
2010-01,ירושלים,3000,ירושלים,7949,3468,4481,1128,6821,4818,7913,211,3%
2010-01,ירושלים,1015,מבשרת ציון,306,141,165,65,241,142,305,8,3%
2010-01,ירושלים,1137,קריית יערים,19,6,13,3,16,9,19,0,2%
2010-01,תל אביב,2400,אור יהודה,811,373,438,50,761,365,799,28,5%
2010-01,תל אביב,565,אזור,148,74,74,20,128,50,148,4,3%
2010-01,תל אביב,6100,בני ברק,2139,1005,1134,128,2011,1420,2127,93,5%
2010-01,תל אביב,6200,בת ים,3544,1499,2045,581,2963,1861,3474,157,5%
2010-01,תל אביב,6300,גבעתיים,656,292,364,254,402,129,654,30,2%
2010-01,תל אביב,6400,הרצלייה,1112,483,629,305,807,195,1085,62,2%
2010-01,תל אביב,6600,חולון,3129,1433,1696,504,2625,1214,3089,110,3%
2010-01,תל אביב,2620,קריית אונו,407,180,227,167,240,69,406,10,3%
2010-01,תל אביב,8600,רמת גן,2025,898,1127,610,1415,606,2008,84,3%
2010-01,תל אביב,2650,רמת השרון,393,160,233,161,232,48,391,13,2%
2010-01,תל אביב,5000,תל אביב -יפו,7402,3584,3818,1959,5443,3153,7339,220,3%
2010-02,אזור יהודה והשומרון,3760,אורנית,85,37,48,37,48,3,85,3,2%
2010-02,אזור יהודה והשומרון,3750,אלפי מנשה,98,42,56,28,70,7,96,2,2%
2010-02,אזור יהודה והשומרון,3560,אלקנה,27,16,11,9,18,3,27,0,2%
2010-02,אזור יהודה והשומרון,3650,אפרתה,60,31,29,24,36,10,60,8,2%
2010-02,אזור יהודה והשומרון,3570,אריאל,456,213,243,124,332,140,455,58,5%
2010-02,אזור יהודה והשומרון,3574,בית אל,46,22,24,19,27,16,46,2,2%
2010-02,אזור יהודה והשומרון,3652,בית אריה,69,31,38,10,59,4,69,3,3%
2010-02,אזור יהודה והשומרון,3780,ביתר עילית,348,166,182,14,334,183,343,14,4%
2010-02,אזור יהודה והשומרון,3730,גבעת זאב,177,80,97,23,154,36,175,15,3%
2010-02,אזור יהודה והשומרון,3769,הר אדר,33,14,19,21,12,4,33,1,2%
2010-02,אזור יהודה והשומרון,3797,מודיעין עילית,271,101,170,16,255,80,270,14,3%
2010-02,אזור יהודה והשומרון,3616,מעלה אדומים,651,272,379,96,555,241,643,60,4%
2010-02,אזור יהודה והשומרון,3660,עמנואל,106,60,46,6,100,76,106,6,11%
2010-02,אזור יהודה והשומרון,3557,קדומים,26,14,12,9,17,5,26,0,2%
2010-02,אזור יהודה והשומרון,3611,קריית ארבע,125,66,59,23,102,66,125,8,4%
2010-02,אזור יהודה והשומרון,3640,קרני שומרון,79,47,32,16,63,21,79,4,2%
2010-02,הדרום,31,אופקים,1426,615,811,98,1328,1037,1416,76,13%
2010-02,הדרום,2600,אילת,1691,809,882,83,1608,719,1670,128,5%
2010-02,הדרום,70,אשדוד,7532,3034,4498,870,6662,4675,7467,485,7%
2010-02,הדרום,7100,אשקלון,4053,1696,2357,632,3421,2295,3988,309,7%
2010-02,הדרום,9000,באר שבע,8177,3558,4619,1039,7138,5465,8126,585,9%
2010-02,הדרום,2200,דימונה,2138,945,1193,145,1993,1519,2106,140,12%
2010-02,הדרום,1303,חורה,696,317,379,0,696,626,696,4,23%
2010-02,הדרום,831,ירוחם,450,223,227,32,418,304,443,69,11%
2010-02,הדרום,1059,כסיפה,983,442,541,1,982,876,982,28,26%
2010-02,הדרום,1271,להבים,51,27,24,27,24,5,51,1,2%
2010-02,הדרום,1060,לקיה,920,444,476,5,915,840,918,11,29%
2010-02,הדרום,1268,מיתר,60,25,35,23,37,8,60,2,2%
2010-02,הדרום,99,מצפה רמון,253,94,159,21,232,133,230,43,10%
2010-02,הדרום,246,נתיבות,923,397,526,50,873,540,915,95,8%
2010-02,הדרום,666,עומר,61,24,37,25,36,6,61,1,2%
2010-02,הדרום,2560,ערד,1053,444,609,191,862,685,1027,121,8%
2010-02,הדרום,1192,ערערה-בנגב,926,368,558,3,923,821,925,7,29%
2010-02,הדרום,2630,קריית גת,2572,1029,1543,215,2357,1702,2562,185,10%
2010-02,הדרום,1034,קריית מלאכי,1280,574,706,36,1244,871,1267,113,12%
2010-02,הדרום,1161,רהט,2999,1246,1753,9,2990,2639,2996,28,21%
2010-02,הדרום,1286,שגב-שלום,554,235,319,2,552,495,553,9,27%
2010-02,הדרום,1031,שדרות,899,375,524,52,847,438,896,60,8%
2010-02,הדרום,1054,תל שבע,1184,572,612,5,1179,1058,1180,12,31%
2010-02,המרכז,182,אבן יהודה,170,83,87,58,112,25,169,14,3%
2010-02,המרכז,41,אליכין,57,29,28,5,52,13,57,4,4%
2010-02,המרכז,1309,אלעד,377,174,203,33,344,101,373,20,4%
2010-02,המרכז,2530,באר יעקב,264,117,147,35,229,85,258,20,4%
2010-02,המרכז,466,בית דגן,130,69,61,22,108,37,129,6,4%
2010-02,המרכז,1066,"בני עי""ש",222,94,128,43,179,97,216,15,6%
2010-02,המרכז,681,גבעת שמואל,260,125,135,102,158,52,260,12,3%
2010-02,המרכז,2550,גדרה,395,166,229,78,317,119,389,21,4%
2010-02,המרכז,627,ג'לג'וליה,59,29,30,0,59,31,59,2,2%
2010-02,המרכז,166,גן יבנה,358,139,219,48,310,108,357,21,4%
2010-02,המרכז,229,גני תקווה,183,87,96,50,133,26,181,13,3%
2010-02,המרכז,9700,הוד השרון,605,262,343,205,400,60,603,37,2%
2010-02,המרכז,1290,זמר,184,64,120,1,183,140,184,8,8%
2010-02,המרכז,2730,טייבה,2131,930,1201,8,2123,1755,2121,36,14%
2010-02,המרכז,2720,טירה,309,164,145,7,302,185,308,13,3%
2010-02,המרכז,2660,יבנה,1100,524,576,73,1027,512,1097,100,6%
2010-02,המרכז,9400,יהוד,587,245,342,81,506,89,560,59,4%
2010-02,המרכז,1224,כוכב יאיר,97,40,57,43,54,4,96,2,2%
2010-02,המרכז,633,כפר ברא,20,11,9,1,19,7,20,2,2%
2010-02,המרכז,168,כפר יונה,386,157,229,61,325,99,380,40,4%
2010-02,המרכז,6900,כפר סבא,1271,574,697,369,902,248,1262,80,3%
2010-02,המרכז,634,כפר קאסם,216,112,104,2,214,112,215,5,3%
2010-02,המרכז,7000,לוד,2331,1023,1308,197,2134,1350,2318,172,7%
2010-02,המרכז,1200,מודיעין-מכבים-רעות*,900,385,515,348,552,68,892,105,2%
2010-02,המרכז,28,מזכרת בתיה,165,74,91,34,131,40,163,10,3%
2010-02,המרכז,7200,נס ציונה,716,323,393,164,552,216,709,33,4%
2010-02,המרכז,7400,נתניה,4889,2248,2641,795,4094,2012,4825,427,5%
2010-02,המרכז,587,סביון*,19,10,9,8,11,0,19,0,1%
2010-02,המרכז,171,פרדסייה,85,31,54,15,70,10,83,4,2%
2010-02,המרכז,7900,פתח תקווה,4364,1932,2432,857,3507,1370,4336,357,4%
2010-02,המרכז,195,קדימה-צורן,245,109,136,72,173,44,244,21,3%
2010-02,המרכז,638,קלנסווה,915,374,541,2,913,741,909,16,13%
2010-02,המרכז,469,קריית עקרון,278,138,140,20,258,132,272,11,5%
2010-02,המרכז,2640,ראש העין,739,374,365,81,658,193,722,80,4%
2010-02,המרכז,8300,ראשון לציון,4809,2138,2671,972,3837,1894,4778,438,4%
2010-02,המרכז,8400,רחובות,2680,1213,1467,572,2108,1079,2648,120,5%
2010-02,המרכז,8500,רמלה,1972,905,1067,131,1841,930,1920,151,6%
2010-02,המרכז,8700,רעננה,793,369,424,296,497,91,790,44,2%
2010-02,המרכז,1304,שוהם,199,81,118,91,108,2,199,19,2%
2010-02,המרכז,154,תל מונד,150,66,84,43,107,24,150,4,3%
2010-02,הצפון,473,אבו סנאן,711,268,443,10,701,560,707,19,15%
2010-02,הצפון,478,אכסאל,663,285,378,15,648,549,661,5,14%
2010-02,הצפון,529,אעבלין,702,299,403,16,686,583,701,12,15%
2010-02,הצפון,482,בועיינה-נוג'ידאת,519,219,300,4,515,438,515,1,16%
2010-02,הצפון,4001,בוקעאתא,406,186,220,2,404,330,396,2,17%
2010-02,הצפון,998,ביר אל-מכסור,450,191,259,2,448,345,449,6,15%
2010-02,הצפון,480,בית ג'ן,351,124,227,5,346,246,349,8,8%
2010-02,הצפון,9200,בית שאן,904,382,522,20,884,484,900,90,10%
2010-02,הצפון,944,בסמת טבעון,326,129,197,2,324,256,326,13,12%
2010-02,הצפון,483,בענה,470,196,274,1,469,422,470,7,17%
2010-02,הצפון,1292,ג'דיידה-מכר,1445,615,830,8,1437,1196,1445,38,19%
2010-02,הצפון,485,ג'ולס,207,79,128,8,199,127,207,19,9%
2010-02,הצפון,487,ג'ש (גוש חלב),59,21,38,5,54,33,59,1,4%
2010-02,הצפון,489,דבורייה,440,222,218,19,421,330,440,10,12%
2010-02,הצפון,490,דייר אל-אסד,451,182,269,10,441,351,451,11,11%
2010-02,הצפון,492,דייר חנא,688,310,378,16,672,532,688,26,17%
2010-02,הצפון,975,זרזיר,331,144,187,3,328,222,328,13,13%
2010-02,הצפון,496,חורפיש,150,55,95,7,143,105,150,7,7%
2010-02,הצפון,2034,חצור הגלילית,308,125,183,14,294,155,297,28,7%
2010-02,הצפון,6700,טבריה,2023,908,1115,108,1915,1310,1934,101,10%
2010-02,הצפון,962,טובא-זנגרייה,374,171,203,3,371,268,368,14,14%
2010-02,הצפון,498,טורעאן,573,226,347,11,562,475,571,16,12%
2010-02,הצפון,8900,טמרה,2164,965,1199,24,2140,1892,2157,36,18%
2010-02,הצפון,1295,יאנוח-ג'ת,185,68,117,7,178,126,185,5,9%
2010-02,הצפון,46,יבנאל,112,67,45,7,105,81,106,0,8%
2010-02,הצפון,499,יפיע,701,314,387,16,685,527,696,39,11%
2010-02,הצפון,240,יקנעם עילית,583,220,363,118,465,259,580,55,6%
2010-02,הצפון,502,ירכא,460,189,271,3,457,351,459,20,10%
2010-02,הצפון,504,כאבול,784,367,417,22,762,650,779,13,19%
2010-02,הצפון,505,כאוכב אבו אל-היג'א,236,88,148,6,230,187,236,5,16%
2010-02,הצפון,1296,כסרא-סמיע,259,92,167,3,256,208,258,13,10%
2010-02,הצפון,978,כעביה-טבאש-חג'אג'רה,225,102,123,2,223,157,223,6,12%
2010-02,הצפון,1263,כפר ורדים,59,25,34,26,33,7,59,3,2%
2010-02,הצפון,507,כפר יאסיף,461,197,264,5,456,360,459,8,11%
2010-02,הצפון,508,כפר כמא,98,44,54,4,94,47,97,0,7%
2010-02,הצפון,509,כפר כנא,1257,536,721,21,1236,1056,1240,42,17%
2010-02,הצפון,510,כפר מנדא,922,447,475,14,908,695,911,57,15%
2010-02,הצפון,47,כפר תבור,48,22,26,14,34,7,48,3,3%
2010-02,הצפון,1139,כרמיאל,1914,757,1157,366,1548,1040,1861,125,8%
2010-02,הצפון,481,מגאר,1513,613,900,35,1478,1282,1510,38,20%
2010-02,הצפון,516,מג'ד אל-כרום,708,321,387,10,698,545,707,19,13%
2010-02,הצפון,874,מגדל העמק,1098,456,642,108,990,549,1068,144,9%
2010-02,הצפון,4201,מג'דל שמס,489,183,306,20,469,405,484,4,12%
2010-02,הצפון,517,מזרעה,200,85,115,2,198,155,198,7,12%
2010-02,הצפון,4203,מסעדה,201,72,129,4,197,171,200,1,14%
2010-02,הצפון,518,מעיליא,68,32,36,9,59,36,68,2,5%
2010-02,הצפון,1063,מעלות-תרשיחא,1081,478,603,134,947,691,1077,68,9%
2010-02,הצפון,520,משהד,346,133,213,7,339,291,342,5,13%
2010-02,הצפון,9100,נהרייה,2289,1047,1242,267,2022,1432,2276,136,8%
2010-02,הצפון,522,נחף,483,205,278,13,470,405,481,12,12%
2010-02,הצפון,7300,נצרת,2079,1022,1057,49,2030,1428,2074,71,7%
2010-02,הצפון,1061,נצרת עילית,1722,788,934,248,1474,861,1656,188,7%
2010-02,הצפון,525,סאג'ור,116,47,69,2,114,84,115,6,8%
2010-02,הצפון,7500,סח'נין,2062,958,1104,37,2025,1741,2062,39,18%
2010-02,הצפון,4501,ע'ג'ר,140,56,84,5,135,109,139,6,16%
2010-02,הצפון,530,עיילבון,210,88,122,11,199,163,208,6,10%
2010-02,הצפון,511,עילוט,331,141,190,4,327,259,330,12,14%
2010-02,הצפון,532,עין מאהל,490,263,227,1,489,369,485,9,12%
2010-02,הצפון,7600,עכו,3538,1603,1935,160,3378,2715,3516,169,14%
2010-02,הצפון,7700,עפולה,1993,872,1121,226,1767,1077,1928,149,9%
2010-02,הצפון,531,עראבה,1400,613,787,40,1360,1185,1399,49,17%
2010-02,הצפון,535,פסוטה,149,69,80,10,139,102,149,4,10%
2010-02,הצפון,536,פקיעין (בוקייעה),157,79,78,7,150,118,155,8,7%
2010-02,הצפון,8000,צפת,1024,500,524,79,945,683,1016,27,9%
